Algorithm,Number of Cores,Pooling,Number of classifiers,Accuracy,BI,AUC
MINIROCKET,250,max,80,0.846,0.8290000000000001,0.987
MINIROCKET,250,max + ppv,80,0.848,0.831,0.987
MINIROCKET,250,ppv,80,0.8390000000000001,0.821,0.9840000000000001
MINIROCKET,250,max,90,0.8490000000000001,0.8320000000000001,0.987
MINIROCKET,250,max + ppv,90,0.848,0.8320000000000001,0.988
MINIROCKET,250,ppv,90,0.8420000000000001,0.8240000000000001,0.9840000000000001
MINIROCKET,250,max,100,0.85,0.833,0.988
MINIROCKET,250,max + ppv,100,0.8490000000000001,0.8320000000000001,0.988
MINIROCKET,250,ppv,100,0.8420000000000001,0.8240000000000001,0.9840000000000001
MINIROCKET,500,max,80,0.85,0.833,0.988
MINIROCKET,500,max + ppv,80,0.851,0.8340000000000001,0.987
MINIROCKET,500,ppv,80,0.8540000000000001,0.838,0.987
MINIROCKET,500,max,90,0.852,0.836,0.987
MINIROCKET,500,max + ppv,90,0.85,0.833,0.988
MINIROCKET,500,ppv,90,0.853,0.836,0.987
MINIROCKET,500,max,100,0.853,0.836,0.987
MINIROCKET,500,max + ppv,100,0.8490000000000001,0.833,0.988
MINIROCKET,500,ppv,100,0.855,0.8390000000000001,0.987
MINIROCKET,1000,max,80,0.8809999999999999,0.868,0.992
MINIROCKET,1000,max + ppv,80,0.88,0.866,0.992
MINIROCKET,1000,ppv,80,0.882,0.8690000000000001,0.991
MINIROCKET,1000,max,90,0.882,0.868,0.992
MINIROCKET,1000,max + ppv,90,0.88,0.867,0.992
MINIROCKET,1000,ppv,90,0.884,0.871,0.992
MINIROCKET,1000,max,100,0.879,0.866,0.992
MINIROCKET,1000,max + ppv,100,0.882,0.8690000000000001,0.992
MINIROCKET,1000,ppv,100,0.884,0.871,0.992
MINIROCKET,2500,max,80,0.8809999999999999,0.868,0.991
MINIROCKET,2500,max + ppv,80,0.8809999999999999,0.868,0.991
MINIROCKET,2500,ppv,80,0.877,0.8640000000000001,0.991
MINIROCKET,2500,max,90,0.88,0.867,0.992
MINIROCKET,2500,max + ppv,90,0.882,0.8690000000000001,0.991
MINIROCKET,2500,ppv,90,0.8759999999999999,0.862,0.99
MINIROCKET,2500,max,100,0.884,0.871,0.992
MINIROCKET,2500,max + ppv,100,0.882,0.868,0.992
MINIROCKET,2500,ppv,100,0.8759999999999999,0.862,0.991
MINIROCKET,5000,max,80,0.889,0.877,0.992
MINIROCKET,5000,max + ppv,80,0.889,0.877,0.992
MINIROCKET,5000,ppv,80,0.89,0.877,0.992
MINIROCKET,5000,max,90,0.89,0.878,0.992
MINIROCKET,5000,max + ppv,90,0.89,0.878,0.992
MINIROCKET,5000,ppv,90,0.888,0.875,0.992
MINIROCKET,5000,max,100,0.887,0.875,0.992
MINIROCKET,5000,max + ppv,100,0.89,0.878,0.992
MINIROCKET,5000,ppv,100,0.893,0.8809999999999999,0.992
MINIROCKET,10000,max,80,0.888,0.875,0.992
MINIROCKET,10000,max + ppv,80,0.887,0.875,0.991
MINIROCKET,10000,ppv,80,0.889,0.8759999999999999,0.992
MINIROCKET,10000,max,90,0.888,0.875,0.992
MINIROCKET,10000,max + ppv,90,0.889,0.877,0.992
MINIROCKET,10000,ppv,90,0.888,0.8759999999999999,0.992
MINIROCKET,10000,max,100,0.889,0.877,0.992
MINIROCKET,10000,max + ppv,100,0.89,0.878,0.992
MINIROCKET,10000,ppv,100,0.887,0.875,0.992
ROCKET,250,max,80,0.8370000000000001,0.8190000000000001,0.986
ROCKET,250,max + ppv,80,0.8370000000000001,0.8190000000000001,0.986
ROCKET,250,ppv,80,0.853,0.8370000000000001,0.987
ROCKET,250,max,90,0.8390000000000001,0.8220000000000001,0.987
ROCKET,250,max + ppv,90,0.84,0.823,0.987
ROCKET,250,ppv,90,0.8540000000000001,0.838,0.988
ROCKET,250,max,100,0.8390000000000001,0.821,0.987
ROCKET,250,max + ppv,100,0.838,0.821,0.986
ROCKET,250,ppv,100,0.855,0.8390000000000001,0.988
ROCKET,500,max,80,0.8390000000000001,0.821,0.986
ROCKET,500,max + ppv,80,0.838,0.82,0.987
ROCKET,500,ppv,80,0.862,0.846,0.988
ROCKET,500,max,90,0.84,0.823,0.987
ROCKET,500,max + ppv,90,0.8370000000000001,0.8190000000000001,0.987
ROCKET,500,ppv,90,0.8590000000000001,0.843,0.9890000000000001
