Algorithm,Number of Cores,Pooling,Number of classifiers,Accuracy,BI,AUC
MINIROCKET,250,max,80,0.731,0.701,0.85
MINIROCKET,250,max + ppv,80,0.7340000000000001,0.705,0.852
MINIROCKET,250,ppv,80,0.726,0.696,0.848
MINIROCKET,250,max,90,0.735,0.706,0.853
MINIROCKET,250,max + ppv,90,0.731,0.701,0.851
MINIROCKET,250,ppv,90,0.728,0.698,0.8490000000000001
MINIROCKET,250,max,100,0.733,0.703,0.852
MINIROCKET,250,max + ppv,100,0.728,0.6970000000000001,0.8490000000000001
MINIROCKET,250,ppv,100,0.727,0.6970000000000001,0.848
MINIROCKET,500,max,80,0.7340000000000001,0.7040000000000001,0.852
MINIROCKET,500,max + ppv,80,0.7340000000000001,0.7040000000000001,0.852
MINIROCKET,500,ppv,80,0.715,0.684,0.8420000000000001
MINIROCKET,500,max,90,0.73,0.7,0.85
MINIROCKET,500,max + ppv,90,0.733,0.7040000000000001,0.852
MINIROCKET,500,ppv,90,0.7140000000000001,0.682,0.841
MINIROCKET,500,max,100,0.733,0.7040000000000001,0.852
MINIROCKET,500,max + ppv,100,0.7340000000000001,0.7040000000000001,0.852
MINIROCKET,500,ppv,100,0.7170000000000001,0.685,0.843
MINIROCKET,1000,max,80,0.711,0.679,0.84
MINIROCKET,1000,max + ppv,80,0.72,0.6890000000000001,0.8440000000000001
MINIROCKET,1000,ppv,80,0.733,0.703,0.852
MINIROCKET,1000,max,90,0.7140000000000001,0.682,0.841
MINIROCKET,1000,max + ppv,90,0.7140000000000001,0.682,0.841
MINIROCKET,1000,ppv,90,0.736,0.7070000000000001,0.853
MINIROCKET,1000,max,100,0.7170000000000001,0.685,0.843
MINIROCKET,1000,max + ppv,100,0.721,0.69,0.845
MINIROCKET,1000,ppv,100,0.735,0.706,0.853
MINIROCKET,2500,max,80,0.752,0.7240000000000001,0.862
MINIROCKET,2500,max + ppv,80,0.753,0.726,0.863
MINIROCKET,2500,ppv,80,0.75,0.722,0.861
MINIROCKET,2500,max,90,0.75,0.722,0.861
MINIROCKET,2500,max + ppv,90,0.759,0.732,0.866
MINIROCKET,2500,ppv,90,0.748,0.72,0.86
MINIROCKET,2500,max,100,0.7509999999999999,0.723,0.861
MINIROCKET,2500,max + ppv,100,0.7509999999999999,0.723,0.862
MINIROCKET,2500,ppv,100,0.754,0.727,0.863
MINIROCKET,5000,max,80,0.7290000000000001,0.6990000000000001,0.8490000000000001
MINIROCKET,5000,max + ppv,80,0.731,0.7020000000000001,0.851
MINIROCKET,5000,ppv,80,0.728,0.698,0.8490000000000001
MINIROCKET,5000,max,90,0.731,0.701,0.85
MINIROCKET,5000,max + ppv,90,0.73,0.7,0.85
MINIROCKET,5000,ppv,90,0.723,0.693,0.846
MINIROCKET,5000,max,100,0.728,0.698,0.8490000000000001
MINIROCKET,5000,max + ppv,100,0.7240000000000001,0.693,0.847
MINIROCKET,5000,ppv,100,0.727,0.6970000000000001,0.848
MINIROCKET,10000,max,80,0.732,0.7020000000000001,0.851
MINIROCKET,10000,max + ppv,80,0.727,0.696,0.848
MINIROCKET,10000,ppv,80,0.7240000000000001,0.6940000000000001,0.847
MINIROCKET,10000,max,90,0.7290000000000001,0.6990000000000001,0.8490000000000001
MINIROCKET,10000,max + ppv,90,0.731,0.701,0.851
MINIROCKET,10000,ppv,90,0.7240000000000001,0.6940000000000001,0.847
MINIROCKET,10000,max,100,0.732,0.7020000000000001,0.851
MINIROCKET,10000,max + ppv,100,0.7290000000000001,0.6990000000000001,0.8490000000000001
MINIROCKET,10000,ppv,100,0.722,0.691,0.845
ROCKET,250,max,80,0.693,0.659,0.8290000000000001
ROCKET,250,max + ppv,80,0.6940000000000001,0.66,0.83
ROCKET,250,ppv,80,0.713,0.6809999999999999,0.841
ROCKET,250,max,90,0.6920000000000001,0.657,0.8290000000000001
ROCKET,250,max + ppv,90,0.69,0.6559999999999999,0.828
ROCKET,250,ppv,90,0.7120000000000001,0.68,0.84
ROCKET,250,max,100,0.693,0.659,0.8290000000000001
ROCKET,250,max + ppv,100,0.691,0.6559999999999999,0.828
ROCKET,250,ppv,100,0.713,0.682,0.841
ROCKET,500,max,80,0.701,0.667,0.8340000000000001
ROCKET,500,max + ppv,80,0.698,0.665,0.8320000000000001
ROCKET,500,ppv,80,0.706,0.674,0.8370000000000001
ROCKET,500,max,90,0.7020000000000001,0.669,0.8340000000000001
ROCKET,500,max + ppv,90,0.7,0.6659999999999999,0.833
ROCKET,500,ppv,90,0.711,0.679,0.8390000000000001
ROCKET,500,max,100,0.696,0.662,0.831
ROCKET,500,max + ppv,100,0.7040000000000001,0.6709999999999999,0.836
ROCKET,500,ppv,100,0.703,0.67,0.835
ROCKET,1000,max,80,0.7090000000000001,0.677,0.838
ROCKET,1000,max + ppv,80,0.7120000000000001,0.68,0.84
ROCKET,1000,ppv,80,0.7240000000000001,0.693,0.847
ROCKET,1000,max,90,0.716,0.684,0.8420000000000001
ROCKET,1000,max + ppv,90,0.71,0.6779999999999999,0.8390000000000001
ROCKET,1000,ppv,90,0.731,0.701,0.85
ROCKET,1000,max,100,0.708,0.6759999999999999,0.838
ROCKET,1000,max + ppv,100,0.713,0.6809999999999999,0.841
ROCKET,1000,ppv,100,0.727,0.6970000000000001,0.848
ROCKET,2500,max,80,0.706,0.6729999999999999,0.836
ROCKET,2500,max + ppv,80,0.711,0.679,0.84
ROCKET,2500,ppv,80,0.738,0.7090000000000001,0.855
ROCKET,2500,max,90,0.7040000000000001,0.6709999999999999,0.835
ROCKET,2500,max + ppv,90,0.711,0.679,0.84
ROCKET,2500,ppv,90,0.733,0.703,0.852
ROCKET,2500,max,100,0.713,0.6809999999999999,0.841
ROCKET,2500,max + ppv,100,0.7070000000000001,0.674,0.8370000000000001
ROCKET,2500,ppv,100,0.737,0.708,0.8540000000000001
ROCKET,5000,max,80,0.703,0.67,0.835
ROCKET,5000,max + ppv,80,0.708,0.6759999999999999,0.838
ROCKET,5000,ppv,80,0.7240000000000001,0.6940000000000001,0.847
ROCKET,5000,max,90,0.703,0.67,0.835
ROCKET,5000,max + ppv,90,0.703,0.67,0.835
ROCKET,5000,ppv,90,0.728,0.6970000000000001,0.8490000000000001
ROCKET,5000,max,100,0.7040000000000001,0.672,0.836
ROCKET,5000,max + ppv,100,0.71,0.677,0.8390000000000001
ROCKET,5000,ppv,100,0.732,0.7020000000000001,0.851
ROCKET,10000,max,80,0.713,0.6809999999999999,0.841
ROCKET,10000,max + ppv,80,0.7090000000000001,0.6759999999999999,0.838
ROCKET,10000,ppv,80,0.727,0.6970000000000001,0.848
ROCKET,10000,max,90,0.716,0.685,0.8420000000000001
ROCKET,10000,max + ppv,90,0.721,0.69,0.845
ROCKET,10000,ppv,90,0.728,0.6970000000000001,0.8490000000000001
ROCKET,10000,max,100,0.716,0.684,0.8420000000000001
ROCKET,10000,max + ppv,100,0.7120000000000001,0.68,0.84
ROCKET,10000,ppv,100,0.72,0.6890000000000001,0.8440000000000001
