Algorithm,Number of Cores,Pooling,Number of Neighbours,Accuracy,BI,AUC
MINIROCKET,250,max,1,0.757,0.73,0.865
MINIROCKET,250,max + ppv,1,0.757,0.73,0.865
MINIROCKET,250,ppv,1,0.688,0.654,0.8270000000000001
MINIROCKET,250,max,2,0.682,0.647,0.898
MINIROCKET,250,max + ppv,2,0.682,0.647,0.898
MINIROCKET,250,ppv,2,0.618,0.5760000000000001,0.871
MINIROCKET,250,max,3,0.6829999999999999,0.648,0.914
MINIROCKET,250,max + ppv,3,0.6829999999999999,0.648,0.914
MINIROCKET,250,ppv,3,0.636,0.596,0.892
MINIROCKET,250,max,4,0.659,0.621,0.925
MINIROCKET,250,max + ppv,4,0.659,0.621,0.925
MINIROCKET,250,ppv,4,0.622,0.581,0.9009999999999999
MINIROCKET,250,max,5,0.652,0.614,0.93
MINIROCKET,250,max + ppv,5,0.652,0.614,0.93
MINIROCKET,250,ppv,5,0.621,0.579,0.905
MINIROCKET,250,max,6,0.639,0.599,0.932
MINIROCKET,250,max + ppv,6,0.639,0.599,0.932
MINIROCKET,250,ppv,6,0.602,0.557,0.9079999999999999
MINIROCKET,250,max,7,0.614,0.5710000000000001,0.9329999999999999
MINIROCKET,250,max + ppv,7,0.614,0.5710000000000001,0.9329999999999999
MINIROCKET,250,ppv,7,0.585,0.539,0.91
MINIROCKET,250,max,8,0.599,0.5539999999999999,0.9329999999999999
MINIROCKET,250,max + ppv,8,0.599,0.5539999999999999,0.9329999999999999
MINIROCKET,250,ppv,8,0.57,0.522,0.912
MINIROCKET,250,max,9,0.586,0.54,0.932
MINIROCKET,250,max + ppv,9,0.586,0.54,0.932
MINIROCKET,250,ppv,9,0.5589999999999999,0.51,0.9109999999999999
MINIROCKET,250,max,10,0.581,0.534,0.929
MINIROCKET,250,max + ppv,10,0.581,0.534,0.929
MINIROCKET,250,ppv,10,0.55,0.5,0.91
MINIROCKET,500,max,1,0.8340000000000001,0.815,0.9079999999999999
MINIROCKET,500,max + ppv,1,0.8340000000000001,0.815,0.9079999999999999
MINIROCKET,500,ppv,1,0.863,0.848,0.924
MINIROCKET,500,max,2,0.7490000000000001,0.722,0.9309999999999999
MINIROCKET,500,max + ppv,2,0.7490000000000001,0.722,0.9309999999999999
MINIROCKET,500,ppv,2,0.752,0.7240000000000001,0.9490000000000001
MINIROCKET,500,max,3,0.728,0.698,0.938
MINIROCKET,500,max + ppv,3,0.728,0.698,0.938
MINIROCKET,500,ppv,3,0.75,0.722,0.95
MINIROCKET,500,max,4,0.71,0.6779999999999999,0.941
MINIROCKET,500,max + ppv,4,0.71,0.6779999999999999,0.941
MINIROCKET,500,ppv,4,0.726,0.695,0.9490000000000001
