Algorithm,Number of Cores,Pooling,Regularization,Accuracy,BI,AUC
MINIROCKET,250,max,Brak,0.726,0.695,0.9540000000000001
MINIROCKET,250,max + ppv,Brak,0.726,0.695,0.9540000000000001
MINIROCKET,250,ppv,Brak,0.654,0.616,0.9179999999999999
MINIROCKET,250,max,elasticnet,0.65,0.611,0.9359999999999999
MINIROCKET,250,max + ppv,elasticnet,0.65,0.611,0.9359999999999999
MINIROCKET,250,ppv,elasticnet,0.591,0.546,0.915
MINIROCKET,250,max,l1,0.593,0.5479999999999999,0.907
MINIROCKET,250,max + ppv,l1,0.594,0.5479999999999999,0.907
MINIROCKET,250,ppv,l1,0.535,0.483,0.882
MINIROCKET,250,max,l2,0.7190000000000001,0.687,0.96
MINIROCKET,250,max + ppv,l2,0.7190000000000001,0.687,0.96
MINIROCKET,250,ppv,l2,0.64,0.6,0.9390000000000001
MINIROCKET,500,max,Brak,0.7879999999999999,0.764,0.966
MINIROCKET,500,max + ppv,Brak,0.7879999999999999,0.764,0.966
MINIROCKET,500,ppv,Brak,0.8440000000000001,0.826,0.977
MINIROCKET,500,max,elasticnet,0.74,0.711,0.95
MINIROCKET,500,max + ppv,elasticnet,0.74,0.711,0.95
MINIROCKET,500,ppv,elasticnet,0.706,0.6729999999999999,0.94
MINIROCKET,500,max,l1,0.653,0.614,0.9229999999999999
MINIROCKET,500,max + ppv,l1,0.654,0.615,0.9229999999999999
MINIROCKET,500,ppv,l1,0.609,0.565,0.914
MINIROCKET,500,max,l2,0.807,0.7859999999999999,0.973
MINIROCKET,500,max + ppv,l2,0.807,0.7859999999999999,0.973
MINIROCKET,500,ppv,l2,0.77,0.7440000000000001,0.965
MINIROCKET,1000,max,Brak,0.8320000000000001,0.8140000000000001,0.983
MINIROCKET,1000,max + ppv,Brak,0.8320000000000001,0.8140000000000001,0.983
MINIROCKET,1000,ppv,Brak,0.825,0.8059999999999999,0.9840000000000001
MINIROCKET,1000,max,elasticnet,0.741,0.713,0.96
MINIROCKET,1000,max + ppv,elasticnet,0.741,0.713,0.96
MINIROCKET,1000,ppv,elasticnet,0.74,0.711,0.9540000000000001
MINIROCKET,1000,max,l1,0.65,0.611,0.925
MINIROCKET,1000,max + ppv,l1,0.649,0.61,0.925
