Algorithm,Number of Cores,Pooling,Parametr Wygładzania,Accuracy,BI,AUC
MINIROCKET,250,max,1e-10,0.5529999999999999,0.503,0.8079999999999999
MINIROCKET,250,max + ppv,1e-10,0.5529999999999999,0.503,0.8079999999999999
MINIROCKET,250,ppv,1e-10,0.536,0.485,0.807
MINIROCKET,250,max,1e-09,0.555,0.506,0.8079999999999999
MINIROCKET,250,max + ppv,1e-09,0.555,0.506,0.8079999999999999
MINIROCKET,250,ppv,1e-09,0.5379999999999999,0.486,0.807
MINIROCKET,250,max,1e-08,0.563,0.514,0.818
MINIROCKET,250,max + ppv,1e-08,0.563,0.514,0.818
MINIROCKET,250,ppv,1e-08,0.54,0.489,0.815
MINIROCKET,500,max,1e-10,0.528,0.47600000000000003,0.7759999999999999
MINIROCKET,500,max + ppv,1e-10,0.528,0.47600000000000003,0.7759999999999999
MINIROCKET,500,ppv,1e-10,0.659,0.622,0.8959999999999999
MINIROCKET,500,max,1e-09,0.532,0.48,0.782
MINIROCKET,500,max + ppv,1e-09,0.532,0.48,0.782
MINIROCKET,500,ppv,1e-09,0.66,0.623,0.897
MINIROCKET,500,max,1e-08,0.557,0.508,0.8029999999999999
MINIROCKET,500,max + ppv,1e-08,0.557,0.508,0.8029999999999999
MINIROCKET,500,ppv,1e-08,0.675,0.639,0.91
MINIROCKET,1000,max,1e-10,0.53,0.47700000000000004,0.7609999999999999
MINIROCKET,1000,max + ppv,1e-10,0.53,0.47700000000000004,0.7609999999999999
MINIROCKET,1000,ppv,1e-10,0.54,0.489,0.779
MINIROCKET,1000,max,1e-09,0.536,0.485,0.765
MINIROCKET,1000,max + ppv,1e-09,0.536,0.485,0.765
MINIROCKET,1000,ppv,1e-09,0.5429999999999999,0.493,0.785
MINIROCKET,1000,max,1e-08,0.574,0.527,0.7909999999999999
MINIROCKET,1000,max + ppv,1e-08,0.574,0.527,0.7909999999999999
MINIROCKET,1000,ppv,1e-08,0.568,0.52,0.8079999999999999
MINIROCKET,2500,max,1e-10,0.45399999999999996,0.39399999999999996,0.72
MINIROCKET,2500,max + ppv,1e-10,0.45399999999999996,0.39399999999999996,0.72
MINIROCKET,2500,ppv,1e-10,0.49200000000000005,0.435,0.748
