Algorithm,Number of Cores,Pooling,Kernel,Smoothing Parameter,Skuteczność,BI,AUC
MINIROCKET,250,max + ppv,linear,100,0.759,0.732,0.9690000000000001
MINIROCKET,250,max,linear,100,0.759,0.732,0.9690000000000001
MINIROCKET,250,ppv,linear,100,0.695,0.6609999999999999,0.9520000000000001
MINIROCKET,250,max + ppv,linear,1000,0.759,0.732,0.9690000000000001
MINIROCKET,250,max,linear,1000,0.759,0.732,0.9690000000000001
MINIROCKET,250,ppv,linear,1000,0.693,0.659,0.951
MINIROCKET,250,max + ppv,linear,10000,0.759,0.732,0.9690000000000001
MINIROCKET,250,max,linear,10000,0.759,0.732,0.9690000000000001
MINIROCKET,250,ppv,linear,10000,0.693,0.659,0.9520000000000001
MINIROCKET,250,max + ppv,poly,100,0.76,0.733,0.968
MINIROCKET,250,max,poly,100,0.76,0.733,0.968
MINIROCKET,250,ppv,poly,100,0.696,0.662,0.951
MINIROCKET,250,max + ppv,poly,1000,0.76,0.733,0.968
MINIROCKET,250,max,poly,1000,0.76,0.733,0.968
MINIROCKET,250,ppv,poly,1000,0.695,0.662,0.951
MINIROCKET,250,max + ppv,poly,10000,0.76,0.733,0.968
MINIROCKET,250,max,poly,10000,0.76,0.733,0.968
MINIROCKET,250,ppv,poly,10000,0.695,0.662,0.95
MINIROCKET,250,max + ppv,rbf,100,0.7659999999999999,0.74,0.97
MINIROCKET,250,max,rbf,100,0.7659999999999999,0.74,0.971
MINIROCKET,250,ppv,rbf,100,0.708,0.675,0.956
MINIROCKET,250,max + ppv,rbf,1000,0.7659999999999999,0.74,0.971
MINIROCKET,250,max,rbf,1000,0.7659999999999999,0.74,0.97
MINIROCKET,250,ppv,rbf,1000,0.7,0.667,0.955
MINIROCKET,250,max + ppv,rbf,10000,0.7659999999999999,0.74,0.971
MINIROCKET,250,max,rbf,10000,0.7659999999999999,0.74,0.971
MINIROCKET,250,ppv,rbf,10000,0.7,0.6659999999999999,0.955
MINIROCKET,250,max + ppv,sigmoid,100,0.5329999999999999,0.48100000000000004,0.22899999999999998
MINIROCKET,250,max,sigmoid,100,0.5329999999999999,0.48100000000000004,0.209
MINIROCKET,250,ppv,sigmoid,100,0.46,0.4,0.316
MINIROCKET,250,max + ppv,sigmoid,1000,0.5670000000000001,0.518,0.877
MINIROCKET,250,max,sigmoid,1000,0.5670000000000001,0.518,0.883
MINIROCKET,250,ppv,sigmoid,1000,0.502,0.446,0.856
MINIROCKET,250,max + ppv,sigmoid,10000,0.6759999999999999,0.64,0.932
MINIROCKET,250,max,sigmoid,10000,0.6759999999999999,0.64,0.9309999999999999
MINIROCKET,250,ppv,sigmoid,10000,0.5379999999999999,0.48700000000000004,0.8809999999999999
MINIROCKET,500,max + ppv,linear,100,0.8340000000000001,0.816,0.983
MINIROCKET,500,max,linear,100,0.8340000000000001,0.816,0.983
MINIROCKET,500,ppv,linear,100,0.882,0.8690000000000001,0.9840000000000001
MINIROCKET,500,max + ppv,linear,1000,0.8340000000000001,0.816,0.982
MINIROCKET,500,max,linear,1000,0.8340000000000001,0.816,0.983
MINIROCKET,500,ppv,linear,1000,0.882,0.8690000000000001,0.9840000000000001
MINIROCKET,500,max + ppv,linear,10000,0.8340000000000001,0.816,0.983
MINIROCKET,500,max,linear,10000,0.8340000000000001,0.816,0.983
MINIROCKET,500,ppv,linear,10000,0.882,0.8690000000000001,0.9840000000000001
MINIROCKET,500,max + ppv,poly,100,0.836,0.8170000000000001,0.982
MINIROCKET,500,max,poly,100,0.836,0.8170000000000001,0.982
MINIROCKET,500,ppv,poly,100,0.882,0.8690000000000001,0.9840000000000001
MINIROCKET,500,max + ppv,poly,1000,0.836,0.8170000000000001,0.982
MINIROCKET,500,max,poly,1000,0.836,0.8170000000000001,0.982
MINIROCKET,500,ppv,poly,1000,0.882,0.8690000000000001,0.9840000000000001
MINIROCKET,500,max + ppv,poly,10000,0.836,0.8170000000000001,0.982
MINIROCKET,500,max,poly,10000,0.836,0.8170000000000001,0.982
MINIROCKET,500,ppv,poly,10000,0.882,0.8690000000000001,0.9840000000000001
MINIROCKET,500,max + ppv,rbf,100,0.8320000000000001,0.8140000000000001,0.9840000000000001
MINIROCKET,500,max,rbf,100,0.8320000000000001,0.8140000000000001,0.983
MINIROCKET,500,ppv,rbf,100,0.87,0.856,0.985
MINIROCKET,500,max + ppv,rbf,1000,0.841,0.823,0.983
MINIROCKET,500,max,rbf,1000,0.841,0.823,0.983
MINIROCKET,500,ppv,rbf,1000,0.882,0.868,0.986
MINIROCKET,500,max + ppv,rbf,10000,0.841,0.823,0.9840000000000001
MINIROCKET,500,max,rbf,10000,0.841,0.823,0.983
MINIROCKET,500,ppv,rbf,10000,0.882,0.8690000000000001,0.986
MINIROCKET,500,max + ppv,sigmoid,100,0.5920000000000001,0.547,0.33
MINIROCKET,500,max,sigmoid,100,0.5920000000000001,0.547,0.298
MINIROCKET,500,ppv,sigmoid,100,0.574,0.527,0.306
MINIROCKET,500,max + ppv,sigmoid,1000,0.627,0.585,0.9109999999999999
MINIROCKET,500,max,sigmoid,1000,0.627,0.585,0.912
MINIROCKET,500,ppv,sigmoid,1000,0.606,0.562,0.9059999999999999
MINIROCKET,500,max + ppv,sigmoid,10000,0.794,0.7709999999999999,0.97
MINIROCKET,500,max,sigmoid,10000,0.794,0.7709999999999999,0.9690000000000001
MINIROCKET,500,ppv,sigmoid,10000,0.769,0.743,0.966
MINIROCKET,1000,max + ppv,linear,100,0.897,0.885,0.992
MINIROCKET,1000,max,linear,100,0.897,0.885,0.992
MINIROCKET,1000,ppv,linear,100,0.888,0.8759999999999999,0.991
MINIROCKET,1000,max + ppv,linear,1000,0.897,0.885,0.992
MINIROCKET,1000,max,linear,1000,0.897,0.885,0.992
MINIROCKET,1000,ppv,linear,1000,0.888,0.8759999999999999,0.991
MINIROCKET,1000,max + ppv,linear,10000,0.897,0.885,0.992
MINIROCKET,1000,max,linear,10000,0.897,0.885,0.992
MINIROCKET,1000,ppv,linear,10000,0.888,0.8759999999999999,0.991
MINIROCKET,1000,max + ppv,poly,100,0.899,0.888,0.992
MINIROCKET,1000,max,poly,100,0.899,0.888,0.992
MINIROCKET,1000,ppv,poly,100,0.887,0.8740000000000001,0.991
MINIROCKET,1000,max + ppv,poly,1000,0.899,0.888,0.992
MINIROCKET,1000,max,poly,1000,0.899,0.888,0.992
MINIROCKET,1000,ppv,poly,1000,0.887,0.8740000000000001,0.99
MINIROCKET,1000,max + ppv,poly,10000,0.899,0.888,0.992
MINIROCKET,1000,max,poly,10000,0.899,0.888,0.992
MINIROCKET,1000,ppv,poly,10000,0.887,0.8740000000000001,0.99
MINIROCKET,1000,max + ppv,rbf,100,0.898,0.8859999999999999,0.992
MINIROCKET,1000,max,rbf,100,0.898,0.8859999999999999,0.992
MINIROCKET,1000,ppv,rbf,100,0.889,0.877,0.991
MINIROCKET,1000,max + ppv,rbf,1000,0.899,0.888,0.992
MINIROCKET,1000,max,rbf,1000,0.899,0.888,0.992
MINIROCKET,1000,ppv,rbf,1000,0.8909999999999999,0.878,0.991
MINIROCKET,1000,max + ppv,rbf,10000,0.899,0.888,0.992
MINIROCKET,1000,max,rbf,10000,0.899,0.888,0.992
MINIROCKET,1000,ppv,rbf,10000,0.8909999999999999,0.878,0.991
MINIROCKET,1000,max + ppv,sigmoid,100,0.662,0.625,0.155
MINIROCKET,1000,max,sigmoid,100,0.662,0.625,0.14300000000000002
MINIROCKET,1000,ppv,sigmoid,100,0.648,0.609,0.187
MINIROCKET,1000,max + ppv,sigmoid,1000,0.6729999999999999,0.637,0.894
MINIROCKET,1000,max,sigmoid,1000,0.6729999999999999,0.637,0.895
MINIROCKET,1000,ppv,sigmoid,1000,0.6609999999999999,0.624,0.904
MINIROCKET,1000,max + ppv,sigmoid,10000,0.838,0.82,0.98
MINIROCKET,1000,max,sigmoid,10000,0.838,0.82,0.98
MINIROCKET,1000,ppv,sigmoid,10000,0.826,0.807,0.98
MINIROCKET,2500,max + ppv,linear,100,0.8909999999999999,0.879,0.992
MINIROCKET,2500,max,linear,100,0.8909999999999999,0.879,0.992
MINIROCKET,2500,ppv,linear,100,0.8909999999999999,0.879,0.991
MINIROCKET,2500,max + ppv,linear,1000,0.8909999999999999,0.879,0.992
MINIROCKET,2500,max,linear,1000,0.8909999999999999,0.879,0.992
MINIROCKET,2500,ppv,linear,1000,0.8909999999999999,0.879,0.991
MINIROCKET,2500,max + ppv,linear,10000,0.8909999999999999,0.879,0.992
MINIROCKET,2500,max,linear,10000,0.8909999999999999,0.879,0.992
MINIROCKET,2500,ppv,linear,10000,0.8909999999999999,0.879,0.991
MINIROCKET,2500,max + ppv,poly,100,0.89,0.877,0.992
MINIROCKET,2500,max,poly,100,0.89,0.877,0.992
MINIROCKET,2500,ppv,poly,100,0.889,0.877,0.991
MINIROCKET,2500,max + ppv,poly,1000,0.89,0.877,0.992
MINIROCKET,2500,max,poly,1000,0.89,0.877,0.992
MINIROCKET,2500,ppv,poly,1000,0.889,0.877,0.991
MINIROCKET,2500,max + ppv,poly,10000,0.89,0.877,0.992
MINIROCKET,2500,max,poly,10000,0.89,0.877,0.992
MINIROCKET,2500,ppv,poly,10000,0.889,0.877,0.991
MINIROCKET,2500,max + ppv,rbf,100,0.884,0.871,0.992
MINIROCKET,2500,max,rbf,100,0.884,0.871,0.992
MINIROCKET,2500,ppv,rbf,100,0.8809999999999999,0.868,0.991
MINIROCKET,2500,max + ppv,rbf,1000,0.892,0.88,0.992
MINIROCKET,2500,max,rbf,1000,0.892,0.88,0.992
MINIROCKET,2500,ppv,rbf,1000,0.892,0.88,0.991
MINIROCKET,2500,max + ppv,rbf,10000,0.892,0.88,0.992
MINIROCKET,2500,max,rbf,10000,0.892,0.88,0.992
MINIROCKET,2500,ppv,rbf,10000,0.892,0.88,0.992
MINIROCKET,2500,max + ppv,sigmoid,100,0.616,0.573,0.23800000000000002
MINIROCKET,2500,max,sigmoid,100,0.616,0.573,0.239
MINIROCKET,2500,ppv,sigmoid,100,0.606,0.562,0.267
MINIROCKET,2500,max + ppv,sigmoid,1000,0.636,0.596,0.912
MINIROCKET,2500,max,sigmoid,1000,0.636,0.596,0.92
MINIROCKET,2500,ppv,sigmoid,1000,0.632,0.5920000000000001,0.9109999999999999
MINIROCKET,2500,max + ppv,sigmoid,10000,0.87,0.855,0.983
MINIROCKET,2500,max,sigmoid,10000,0.87,0.855,0.9840000000000001
MINIROCKET,2500,ppv,sigmoid,10000,0.865,0.85,0.983
MINIROCKET,5000,max + ppv,linear,100,0.894,0.883,0.9940000000000001
MINIROCKET,5000,max,linear,100,0.894,0.883,0.9940000000000001
MINIROCKET,5000,ppv,linear,100,0.8959999999999999,0.884,0.993
MINIROCKET,5000,max + ppv,linear,1000,0.894,0.883,0.9940000000000001
MINIROCKET,5000,max,linear,1000,0.894,0.883,0.993
MINIROCKET,5000,ppv,linear,1000,0.8959999999999999,0.884,0.993
MINIROCKET,5000,max + ppv,linear,10000,0.894,0.883,0.9940000000000001
MINIROCKET,5000,max,linear,10000,0.894,0.883,0.9940000000000001
MINIROCKET,5000,ppv,linear,10000,0.8959999999999999,0.884,0.993
MINIROCKET,5000,max + ppv,poly,100,0.894,0.882,0.993
MINIROCKET,5000,max,poly,100,0.894,0.882,0.993
MINIROCKET,5000,ppv,poly,100,0.8959999999999999,0.885,0.993
MINIROCKET,5000,max + ppv,poly,1000,0.894,0.882,0.993
MINIROCKET,5000,max,poly,1000,0.894,0.882,0.993
MINIROCKET,5000,ppv,poly,1000,0.8959999999999999,0.885,0.993
MINIROCKET,5000,max + ppv,poly,10000,0.894,0.882,0.993
MINIROCKET,5000,max,poly,10000,0.894,0.882,0.993
