Algorithm,Number of Cores,Pooling,Number of classifiers,Accuracy,BI,AUC
MINIROCKET,250,max,80,0.517,0.424,0.853
MINIROCKET,250,max + ppv,80,0.517,0.424,0.855
MINIROCKET,250,ppv,80,0.449,0.34600000000000003,0.8220000000000001
MINIROCKET,250,max,90,0.518,0.424,0.8540000000000001
MINIROCKET,250,max + ppv,90,0.518,0.424,0.8540000000000001
MINIROCKET,250,ppv,90,0.452,0.35,0.8270000000000001
MINIROCKET,250,max,100,0.515,0.42,0.8540000000000001
MINIROCKET,250,max + ppv,100,0.517,0.424,0.8540000000000001
MINIROCKET,250,ppv,100,0.44799999999999995,0.34600000000000003,0.8240000000000001
MINIROCKET,500,max,80,0.5429999999999999,0.45299999999999996,0.87
MINIROCKET,500,max + ppv,80,0.542,0.452,0.873
MINIROCKET,500,ppv,80,0.541,0.449,0.857
MINIROCKET,500,max,90,0.546,0.456,0.873
MINIROCKET,500,max + ppv,90,0.545,0.455,0.873
MINIROCKET,500,ppv,90,0.545,0.45399999999999996,0.858
MINIROCKET,500,max,100,0.544,0.45399999999999996,0.875
MINIROCKET,500,max + ppv,100,0.544,0.45399999999999996,0.875
MINIROCKET,500,ppv,100,0.546,0.45399999999999996,0.86
MINIROCKET,1000,max,80,0.564,0.478,0.8690000000000001
MINIROCKET,1000,max + ppv,80,0.562,0.475,0.868
MINIROCKET,1000,ppv,80,0.5579999999999999,0.469,0.865
MINIROCKET,1000,max,90,0.562,0.475,0.87
MINIROCKET,1000,max + ppv,90,0.563,0.47700000000000004,0.87
MINIROCKET,1000,ppv,90,0.5589999999999999,0.47100000000000003,0.862
MINIROCKET,1000,max,100,0.562,0.475,0.872
MINIROCKET,1000,max + ppv,100,0.564,0.47700000000000004,0.871
MINIROCKET,1000,ppv,100,0.564,0.47700000000000004,0.867
MINIROCKET,2500,max,80,0.565,0.47600000000000003,0.8740000000000001
MINIROCKET,2500,max + ppv,80,0.564,0.47600000000000003,0.873
MINIROCKET,2500,ppv,80,0.5720000000000001,0.486,0.872
MINIROCKET,2500,max,90,0.561,0.47200000000000003,0.8759999999999999
MINIROCKET,2500,max + ppv,90,0.5710000000000001,0.483,0.875
MINIROCKET,2500,ppv,90,0.5720000000000001,0.485,0.873
MINIROCKET,2500,max,100,0.5670000000000001,0.479,0.8759999999999999
MINIROCKET,2500,max + ppv,100,0.569,0.48100000000000004,0.877
MINIROCKET,2500,ppv,100,0.573,0.48700000000000004,0.8740000000000001
MINIROCKET,5000,max,80,0.59,0.506,0.883
MINIROCKET,5000,max + ppv,80,0.59,0.506,0.883
MINIROCKET,5000,ppv,80,0.59,0.507,0.8809999999999999
MINIROCKET,5000,max,90,0.589,0.504,0.885
MINIROCKET,5000,max + ppv,90,0.5870000000000001,0.503,0.882
MINIROCKET,5000,ppv,90,0.591,0.508,0.8809999999999999
MINIROCKET,5000,max,100,0.588,0.504,0.885
MINIROCKET,5000,max + ppv,100,0.593,0.509,0.884
MINIROCKET,5000,ppv,100,0.589,0.506,0.882
MINIROCKET,10000,max,80,0.574,0.48700000000000004,0.879
MINIROCKET,10000,max + ppv,80,0.574,0.48700000000000004,0.88
MINIROCKET,10000,ppv,80,0.563,0.473,0.879
MINIROCKET,10000,max,90,0.5710000000000001,0.483,0.88
MINIROCKET,10000,max + ppv,90,0.57,0.48200000000000004,0.88
MINIROCKET,10000,ppv,90,0.564,0.474,0.879
MINIROCKET,10000,max,100,0.573,0.485,0.882
MINIROCKET,10000,max + ppv,100,0.564,0.474,0.8809999999999999
MINIROCKET,10000,ppv,100,0.564,0.474,0.8809999999999999
ROCKET,250,max,80,0.523,0.426,0.85
ROCKET,250,max + ppv,80,0.522,0.425,0.852
ROCKET,250,ppv,80,0.536,0.442,0.851
ROCKET,250,max,90,0.525,0.428,0.853
ROCKET,250,max + ppv,90,0.5329999999999999,0.43700000000000006,0.853
ROCKET,250,ppv,90,0.532,0.43799999999999994,0.852
ROCKET,250,max,100,0.531,0.435,0.856
ROCKET,250,max + ppv,100,0.527,0.43,0.8540000000000001
ROCKET,250,ppv,100,0.5379999999999999,0.444,0.853
ROCKET,500,max,80,0.535,0.439,0.857
ROCKET,500,max + ppv,80,0.537,0.441,0.858
ROCKET,500,ppv,80,0.547,0.45299999999999996,0.8590000000000001
ROCKET,500,max,90,0.54,0.444,0.86
ROCKET,500,max + ppv,90,0.536,0.441,0.86
ROCKET,500,ppv,90,0.55,0.457,0.8590000000000001
ROCKET,500,max,100,0.539,0.444,0.861
ROCKET,500,max + ppv,100,0.5429999999999999,0.44799999999999995,0.861
ROCKET,500,ppv,100,0.547,0.45399999999999996,0.8590000000000001
ROCKET,1000,max,80,0.539,0.444,0.86
ROCKET,1000,max + ppv,80,0.546,0.452,0.861
ROCKET,1000,ppv,80,0.55,0.45799999999999996,0.86
ROCKET,1000,max,90,0.545,0.45,0.8640000000000001
ROCKET,1000,max + ppv,90,0.541,0.446,0.863
ROCKET,1000,ppv,90,0.551,0.45799999999999996,0.8640000000000001
ROCKET,1000,max,100,0.5489999999999999,0.45399999999999996,0.865
ROCKET,1000,max + ppv,100,0.546,0.451,0.8640000000000001
ROCKET,1000,ppv,100,0.555,0.46399999999999997,0.863
ROCKET,2500,max,80,0.556,0.46299999999999997,0.868
ROCKET,2500,max + ppv,80,0.5529999999999999,0.45899999999999996,0.867
ROCKET,2500,ppv,80,0.561,0.47100000000000003,0.868
ROCKET,2500,max,90,0.552,0.45799999999999996,0.87
ROCKET,2500,max + ppv,90,0.551,0.457,0.87
ROCKET,2500,ppv,90,0.5589999999999999,0.46799999999999997,0.867
