Algorithm,Number of Cores,Pooling,Number of Neighbours,Accuracy,BI,AUC
MINIROCKET,250,max,1,0.5329999999999999,0.44799999999999995,0.7240000000000001
MINIROCKET,250,max + ppv,1,0.5329999999999999,0.44799999999999995,0.7240000000000001
MINIROCKET,250,ppv,1,0.521,0.433,0.7170000000000001
MINIROCKET,250,max,2,0.509,0.425,0.768
MINIROCKET,250,max + ppv,2,0.509,0.425,0.768
MINIROCKET,250,ppv,2,0.489,0.4,0.7609999999999999
MINIROCKET,250,max,3,0.506,0.42100000000000004,0.7929999999999999
MINIROCKET,250,max + ppv,3,0.506,0.42100000000000004,0.7929999999999999
MINIROCKET,250,ppv,3,0.493,0.406,0.787
MINIROCKET,250,max,4,0.512,0.424,0.8079999999999999
MINIROCKET,250,max + ppv,4,0.512,0.424,0.8079999999999999
MINIROCKET,250,ppv,4,0.493,0.402,0.802
MINIROCKET,250,max,5,0.506,0.419,0.8190000000000001
MINIROCKET,250,max + ppv,5,0.506,0.419,0.8190000000000001
MINIROCKET,250,ppv,5,0.491,0.401,0.812
MINIROCKET,250,max,6,0.514,0.429,0.826
MINIROCKET,250,max + ppv,6,0.514,0.429,0.826
MINIROCKET,250,ppv,6,0.498,0.41,0.821
MINIROCKET,250,max,7,0.502,0.415,0.831
MINIROCKET,250,max + ppv,7,0.502,0.415,0.831
MINIROCKET,250,ppv,7,0.486,0.397,0.826
MINIROCKET,250,max,8,0.513,0.426,0.8340000000000001
MINIROCKET,250,max + ppv,8,0.513,0.426,0.8340000000000001
MINIROCKET,250,ppv,8,0.496,0.40700000000000003,0.83
MINIROCKET,250,max,9,0.505,0.41700000000000004,0.8370000000000001
MINIROCKET,250,max + ppv,9,0.505,0.41700000000000004,0.8370000000000001
MINIROCKET,250,ppv,9,0.48700000000000004,0.396,0.833
MINIROCKET,250,max,10,0.525,0.44,0.84
MINIROCKET,250,max + ppv,10,0.525,0.44,0.84
MINIROCKET,250,ppv,10,0.501,0.41200000000000003,0.8340000000000001
MINIROCKET,500,max,1,0.561,0.48200000000000004,0.741
MINIROCKET,500,max + ppv,1,0.561,0.48200000000000004,0.741
MINIROCKET,500,ppv,1,0.565,0.48200000000000004,0.741
MINIROCKET,500,max,2,0.539,0.462,0.79
MINIROCKET,500,max + ppv,2,0.539,0.462,0.79
MINIROCKET,500,ppv,2,0.47700000000000004,0.384,0.779
MINIROCKET,500,max,3,0.5379999999999999,0.45799999999999996,0.813
MINIROCKET,500,max + ppv,3,0.5379999999999999,0.45799999999999996,0.813
MINIROCKET,500,ppv,3,0.498,0.41,0.81
MINIROCKET,500,max,4,0.545,0.465,0.8270000000000001
MINIROCKET,500,max + ppv,4,0.545,0.465,0.8270000000000001
MINIROCKET,500,ppv,4,0.466,0.36700000000000005,0.83
MINIROCKET,500,max,5,0.557,0.479,0.836
MINIROCKET,500,max + ppv,5,0.557,0.479,0.836
MINIROCKET,500,ppv,5,0.49200000000000005,0.402,0.8390000000000001
MINIROCKET,500,max,6,0.542,0.462,0.841
MINIROCKET,500,max + ppv,6,0.542,0.462,0.841
MINIROCKET,500,ppv,6,0.5,0.41200000000000003,0.847
MINIROCKET,500,max,7,0.534,0.45299999999999996,0.845
MINIROCKET,500,max + ppv,7,0.534,0.45299999999999996,0.845
MINIROCKET,500,ppv,7,0.491,0.40299999999999997,0.8540000000000001
MINIROCKET,500,max,8,0.536,0.45299999999999996,0.848
MINIROCKET,500,max + ppv,8,0.536,0.45299999999999996,0.848
MINIROCKET,500,ppv,8,0.503,0.418,0.858
MINIROCKET,500,max,9,0.537,0.455,0.848
MINIROCKET,500,max + ppv,9,0.537,0.455,0.848
MINIROCKET,500,ppv,9,0.525,0.444,0.86
MINIROCKET,500,max,10,0.536,0.45299999999999996,0.848
MINIROCKET,500,max + ppv,10,0.536,0.45299999999999996,0.848
MINIROCKET,500,ppv,10,0.508,0.424,0.86
MINIROCKET,1000,max,1,0.536,0.452,0.726
MINIROCKET,1000,max + ppv,1,0.536,0.452,0.726
MINIROCKET,1000,ppv,1,0.579,0.491,0.745
MINIROCKET,1000,max,2,0.506,0.423,0.7809999999999999
MINIROCKET,1000,max + ppv,2,0.506,0.423,0.7809999999999999
MINIROCKET,1000,ppv,2,0.509,0.42100000000000004,0.7859999999999999
MINIROCKET,1000,max,3,0.483,0.392,0.8109999999999999
MINIROCKET,1000,max + ppv,3,0.483,0.392,0.8109999999999999
MINIROCKET,1000,ppv,3,0.514,0.43,0.802
MINIROCKET,1000,max,4,0.503,0.41600000000000004,0.831
MINIROCKET,1000,max + ppv,4,0.503,0.41600000000000004,0.831
MINIROCKET,1000,ppv,4,0.5,0.409,0.815
MINIROCKET,1000,max,5,0.501,0.413,0.843
MINIROCKET,1000,max + ppv,5,0.501,0.413,0.843
MINIROCKET,1000,ppv,5,0.478,0.385,0.825
MINIROCKET,1000,max,6,0.515,0.429,0.85
MINIROCKET,1000,max + ppv,6,0.515,0.429,0.85
MINIROCKET,1000,ppv,6,0.506,0.41700000000000004,0.8290000000000001
MINIROCKET,1000,max,7,0.501,0.41200000000000003,0.853
MINIROCKET,1000,max + ppv,7,0.501,0.41200000000000003,0.853
MINIROCKET,1000,ppv,7,0.493,0.405,0.84
MINIROCKET,1000,max,8,0.511,0.423,0.855
MINIROCKET,1000,max + ppv,8,0.511,0.423,0.855
MINIROCKET,1000,ppv,8,0.512,0.426,0.8490000000000001
MINIROCKET,1000,max,9,0.512,0.423,0.857
MINIROCKET,1000,max + ppv,9,0.512,0.423,0.857
MINIROCKET,1000,ppv,9,0.494,0.40399999999999997,0.852
MINIROCKET,1000,max,10,0.515,0.428,0.858
MINIROCKET,1000,max + ppv,10,0.515,0.428,0.858
MINIROCKET,1000,ppv,10,0.503,0.413,0.855
MINIROCKET,2500,max,1,0.606,0.53,0.765
MINIROCKET,2500,max + ppv,1,0.606,0.53,0.765
MINIROCKET,2500,ppv,1,0.584,0.502,0.7509999999999999
MINIROCKET,2500,max,2,0.5539999999999999,0.47700000000000004,0.8170000000000001
MINIROCKET,2500,max + ppv,2,0.5539999999999999,0.47700000000000004,0.8170000000000001
MINIROCKET,2500,ppv,2,0.5579999999999999,0.479,0.8170000000000001
MINIROCKET,2500,max,3,0.56,0.48200000000000004,0.845
