Algorithm,Number of Cores,Pooling,Regularization,Accuracy,BI,AUC
MINIROCKET,250,max,Brak,0.5429999999999999,0.45799999999999996,0.845
MINIROCKET,250,max + ppv,Brak,0.5429999999999999,0.45799999999999996,0.845
MINIROCKET,250,ppv,Brak,0.49700000000000005,0.405,0.82
MINIROCKET,250,max,elasticnet,0.478,0.375,0.8320000000000001
MINIROCKET,250,max + ppv,elasticnet,0.478,0.375,0.8320000000000001
MINIROCKET,250,ppv,elasticnet,0.478,0.375,0.8320000000000001
MINIROCKET,250,max,l1,0.418,0.305,0.809
MINIROCKET,250,max + ppv,l1,0.418,0.305,0.809
MINIROCKET,250,ppv,l1,0.418,0.305,0.8079999999999999
MINIROCKET,250,max,l2,0.53,0.43700000000000006,0.857
MINIROCKET,250,max + ppv,l2,0.53,0.43700000000000006,0.857
MINIROCKET,250,ppv,l2,0.507,0.41100000000000003,0.846
MINIROCKET,500,max,Brak,0.61,0.537,0.872
MINIROCKET,500,max + ppv,Brak,0.61,0.537,0.872
MINIROCKET,500,ppv,Brak,0.598,0.525,0.879
MINIROCKET,500,max,elasticnet,0.462,0.35700000000000004,0.83
MINIROCKET,500,max + ppv,elasticnet,0.462,0.35700000000000004,0.83
MINIROCKET,500,ppv,elasticnet,0.402,0.281,0.77
MINIROCKET,500,max,l1,0.43,0.321,0.823
MINIROCKET,500,max + ppv,l1,0.43,0.321,0.823
MINIROCKET,500,ppv,l1,0.363,0.23800000000000002,0.7509999999999999
MINIROCKET,500,max,l2,0.561,0.474,0.8690000000000001
MINIROCKET,500,max + ppv,l2,0.561,0.474,0.8690000000000001
MINIROCKET,500,ppv,l2,0.523,0.418,0.85
MINIROCKET,1000,max,Brak,0.578,0.499,0.862
MINIROCKET,1000,max + ppv,Brak,0.578,0.499,0.862
MINIROCKET,1000,ppv,Brak,0.556,0.47100000000000003,0.846
MINIROCKET,1000,max,elasticnet,0.45899999999999996,0.353,0.8170000000000001
MINIROCKET,1000,max + ppv,elasticnet,0.45899999999999996,0.353,0.8170000000000001
MINIROCKET,1000,ppv,elasticnet,0.43700000000000006,0.319,0.7909999999999999
MINIROCKET,1000,max,l1,0.436,0.326,0.8029999999999999
MINIROCKET,1000,max + ppv,l1,0.436,0.326,0.8029999999999999
MINIROCKET,1000,ppv,l1,0.40299999999999997,0.282,0.769
MINIROCKET,1000,max,l2,0.55,0.45899999999999996,0.875
MINIROCKET,1000,max + ppv,l2,0.55,0.45899999999999996,0.875
MINIROCKET,1000,ppv,l2,0.546,0.447,0.863
MINIROCKET,2500,max,Brak,0.615,0.544,0.8859999999999999
MINIROCKET,2500,max + ppv,Brak,0.615,0.544,0.8859999999999999
MINIROCKET,2500,ppv,Brak,0.617,0.544,0.88
MINIROCKET,2500,max,elasticnet,0.507,0.408,0.85
MINIROCKET,2500,max + ppv,elasticnet,0.507,0.408,0.85
MINIROCKET,2500,ppv,elasticnet,0.494,0.387,0.845
MINIROCKET,2500,max,l1,0.49,0.38799999999999996,0.843
MINIROCKET,2500,max + ppv,l1,0.49,0.38799999999999996,0.843
MINIROCKET,2500,ppv,l1,0.467,0.35700000000000004,0.8320000000000001
MINIROCKET,2500,max,l2,0.618,0.539,0.903
MINIROCKET,2500,max + ppv,l2,0.618,0.539,0.903
MINIROCKET,2500,ppv,l2,0.581,0.489,0.892
MINIROCKET,5000,max,Brak,0.6409999999999999,0.5670000000000001,0.894
MINIROCKET,5000,max + ppv,Brak,0.6409999999999999,0.5670000000000001,0.894
MINIROCKET,5000,ppv,Brak,0.634,0.561,0.889
MINIROCKET,5000,max,elasticnet,0.521,0.42,0.848
MINIROCKET,5000,max + ppv,elasticnet,0.521,0.42,0.848
MINIROCKET,5000,ppv,elasticnet,0.51,0.408,0.845
MINIROCKET,5000,max,l1,0.486,0.379,0.8440000000000001
MINIROCKET,5000,max + ppv,l1,0.486,0.379,0.8440000000000001
MINIROCKET,5000,ppv,l1,0.491,0.387,0.8440000000000001
MINIROCKET,5000,max,l2,0.649,0.57,0.91
MINIROCKET,5000,max + ppv,l2,0.649,0.57,0.91
MINIROCKET,5000,ppv,l2,0.626,0.544,0.899
MINIROCKET,10000,max,Brak,0.608,0.53,0.888
MINIROCKET,10000,max + ppv,Brak,0.608,0.53,0.888
MINIROCKET,10000,ppv,Brak,0.608,0.5329999999999999,0.8809999999999999
MINIROCKET,10000,max,elasticnet,0.518,0.41700000000000004,0.852
MINIROCKET,10000,max + ppv,elasticnet,0.518,0.41700000000000004,0.852
MINIROCKET,10000,ppv,elasticnet,0.506,0.40299999999999997,0.852
MINIROCKET,10000,max,l1,0.489,0.382,0.845
MINIROCKET,10000,max + ppv,l1,0.489,0.382,0.845
MINIROCKET,10000,ppv,l1,0.49700000000000005,0.39399999999999996,0.843
MINIROCKET,10000,max,l2,0.667,0.598,0.912
MINIROCKET,10000,max + ppv,l2,0.667,0.598,0.912
MINIROCKET,10000,ppv,l2,0.627,0.55,0.909
ROCKET,250,max,Brak,0.413,0.307,0.79
ROCKET,250,max + ppv,Brak,0.413,0.307,0.79
ROCKET,250,ppv,Brak,0.556,0.47100000000000003,0.858
ROCKET,250,max,elasticnet,0.469,0.371,0.831
ROCKET,250,max + ppv,elasticnet,0.469,0.371,0.831
ROCKET,250,ppv,elasticnet,0.44799999999999995,0.332,0.8029999999999999
ROCKET,250,max,l1,0.467,0.369,0.8290000000000001
ROCKET,250,max + ppv,l1,0.467,0.369,0.8290000000000001
ROCKET,250,ppv,l1,0.40700000000000003,0.287,0.7829999999999999
ROCKET,250,max,l2,0.484,0.387,0.831
ROCKET,250,max + ppv,l2,0.484,0.387,0.831
ROCKET,250,ppv,l2,0.506,0.39899999999999997,0.851
ROCKET,500,max,Brak,0.409,0.305,0.792
ROCKET,500,max + ppv,Brak,0.409,0.305,0.792
ROCKET,500,ppv,Brak,0.57,0.48700000000000004,0.866
ROCKET,500,max,elasticnet,0.49,0.395,0.847
ROCKET,500,max + ppv,elasticnet,0.491,0.396,0.847
ROCKET,500,ppv,elasticnet,0.47200000000000003,0.361,0.823
ROCKET,500,max,l1,0.489,0.39399999999999996,0.846
ROCKET,500,max + ppv,l1,0.489,0.39299999999999996,0.846
ROCKET,500,ppv,l1,0.441,0.327,0.8029999999999999
ROCKET,500,max,l2,0.495,0.39899999999999997,0.8440000000000001
ROCKET,500,max + ppv,l2,0.495,0.39899999999999997,0.8440000000000001
ROCKET,500,ppv,l2,0.524,0.42200000000000004,0.866
ROCKET,1000,max,Brak,0.409,0.303,0.794
ROCKET,1000,max + ppv,Brak,0.409,0.303,0.794
ROCKET,1000,ppv,Brak,0.58,0.498,0.871
ROCKET,1000,max,elasticnet,0.494,0.401,0.8590000000000001
ROCKET,1000,max + ppv,elasticnet,0.494,0.4,0.8590000000000001
ROCKET,1000,ppv,elasticnet,0.485,0.377,0.83
ROCKET,1000,max,l1,0.49700000000000005,0.402,0.8590000000000001
ROCKET,1000,max + ppv,l1,0.49700000000000005,0.40299999999999997,0.8590000000000001
ROCKET,1000,ppv,l1,0.46299999999999997,0.35200000000000004,0.815
ROCKET,1000,max,l2,0.508,0.414,0.858
ROCKET,1000,max + ppv,l2,0.508,0.414,0.858
ROCKET,1000,ppv,l2,0.555,0.45899999999999996,0.878
ROCKET,2500,max,Brak,0.402,0.294,0.794
ROCKET,2500,max + ppv,Brak,0.402,0.294,0.794
ROCKET,2500,ppv,Brak,0.603,0.524,0.8759999999999999
ROCKET,2500,max,elasticnet,0.499,0.405,0.868
ROCKET,2500,max + ppv,elasticnet,0.499,0.405,0.868
ROCKET,2500,ppv,elasticnet,0.504,0.39899999999999997,0.843
ROCKET,2500,max,l1,0.507,0.413,0.8690000000000001
ROCKET,2500,max + ppv,l1,0.507,0.413,0.8690000000000001
ROCKET,2500,ppv,l1,0.489,0.381,0.83
ROCKET,2500,max,l2,0.519,0.426,0.863
ROCKET,2500,max + ppv,l2,0.519,0.426,0.863
ROCKET,2500,ppv,l2,0.609,0.524,0.892
ROCKET,5000,max,Brak,0.39799999999999996,0.289,0.7929999999999999
ROCKET,5000,max + ppv,Brak,0.39799999999999996,0.289,0.7929999999999999
ROCKET,5000,ppv,Brak,0.607,0.529,0.875
ROCKET,5000,max,elasticnet,0.493,0.39799999999999996,0.872
ROCKET,5000,max + ppv,elasticnet,0.494,0.39899999999999997,0.872
ROCKET,5000,ppv,elasticnet,0.521,0.42,0.851
ROCKET,5000,max,l1,0.503,0.408,0.875
ROCKET,5000,max + ppv,l1,0.503,0.408,0.875
ROCKET,5000,ppv,l1,0.496,0.389,0.8370000000000001
ROCKET,5000,max,l2,0.528,0.436,0.866
ROCKET,5000,max + ppv,l2,0.528,0.436,0.866
ROCKET,5000,ppv,l2,0.631,0.551,0.897
ROCKET,10000,max,Brak,0.402,0.295,0.795
ROCKET,10000,max + ppv,Brak,0.402,0.295,0.795
ROCKET,10000,ppv,Brak,0.612,0.534,0.878
ROCKET,10000,max,elasticnet,0.489,0.39299999999999996,0.873
ROCKET,10000,max + ppv,elasticnet,0.489,0.39299999999999996,0.873
