Algorithm,Number of Cores,Pooling,Parametr Wygładzania,Accuracy,BI,AUC
MINIROCKET,250,max,1e-10,0.491,0.401,0.797
MINIROCKET,250,max + ppv,1e-10,0.491,0.401,0.797
MINIROCKET,250,ppv,1e-10,0.475,0.385,0.7879999999999999
MINIROCKET,250,max,1e-09,0.49200000000000005,0.402,0.7979999999999999
MINIROCKET,250,max + ppv,1e-09,0.49200000000000005,0.402,0.7979999999999999
MINIROCKET,250,ppv,1e-09,0.48,0.392,0.79
MINIROCKET,250,max,1e-08,0.491,0.401,0.799
MINIROCKET,250,max + ppv,1e-08,0.491,0.401,0.799
MINIROCKET,250,ppv,1e-08,0.48700000000000004,0.39899999999999997,0.792
MINIROCKET,500,max,1e-10,0.45799999999999996,0.358,0.747
MINIROCKET,500,max + ppv,1e-10,0.45799999999999996,0.358,0.747
MINIROCKET,500,ppv,1e-10,0.532,0.439,0.823
MINIROCKET,500,max,1e-09,0.46,0.36200000000000004,0.747
MINIROCKET,500,max + ppv,1e-09,0.46,0.36200000000000004,0.747
MINIROCKET,500,ppv,1e-09,0.531,0.43799999999999994,0.823
MINIROCKET,500,max,1e-08,0.46299999999999997,0.365,0.748
MINIROCKET,500,max + ppv,1e-08,0.46299999999999997,0.365,0.748
MINIROCKET,500,ppv,1e-08,0.531,0.43799999999999994,0.823
MINIROCKET,1000,max,1e-10,0.47100000000000003,0.371,0.7490000000000001
MINIROCKET,1000,max + ppv,1e-10,0.47100000000000003,0.371,0.7490000000000001
MINIROCKET,1000,ppv,1e-10,0.536,0.445,0.823
MINIROCKET,1000,max,1e-09,0.46799999999999997,0.368,0.7490000000000001
MINIROCKET,1000,max + ppv,1e-09,0.46799999999999997,0.368,0.7490000000000001
MINIROCKET,1000,ppv,1e-09,0.535,0.444,0.823
MINIROCKET,1000,max,1e-08,0.465,0.364,0.7490000000000001
MINIROCKET,1000,max + ppv,1e-08,0.465,0.364,0.7490000000000001
MINIROCKET,1000,ppv,1e-08,0.535,0.44299999999999995,0.823
MINIROCKET,2500,max,1e-10,0.428,0.322,0.693
MINIROCKET,2500,max + ppv,1e-10,0.428,0.322,0.693
MINIROCKET,2500,ppv,1e-10,0.45899999999999996,0.355,0.753
MINIROCKET,2500,max,1e-09,0.42700000000000005,0.32,0.693
MINIROCKET,2500,max + ppv,1e-09,0.42700000000000005,0.32,0.693
MINIROCKET,2500,ppv,1e-09,0.46,0.35600000000000004,0.752
MINIROCKET,2500,max,1e-08,0.425,0.318,0.693
MINIROCKET,2500,max + ppv,1e-08,0.425,0.318,0.693
MINIROCKET,2500,ppv,1e-08,0.46,0.35600000000000004,0.752
MINIROCKET,5000,max,1e-10,0.387,0.271,0.662
MINIROCKET,5000,max + ppv,1e-10,0.387,0.271,0.662
MINIROCKET,5000,ppv,1e-10,0.439,0.33299999999999996,0.715
MINIROCKET,5000,max,1e-09,0.38799999999999996,0.272,0.6629999999999999
MINIROCKET,5000,max + ppv,1e-09,0.38799999999999996,0.272,0.6629999999999999
MINIROCKET,5000,ppv,1e-09,0.43799999999999994,0.331,0.715
MINIROCKET,5000,max,1e-08,0.39,0.27399999999999997,0.667
MINIROCKET,5000,max + ppv,1e-08,0.39,0.27399999999999997,0.667
MINIROCKET,5000,ppv,1e-08,0.436,0.32799999999999996,0.715
MINIROCKET,10000,max,1e-10,0.402,0.28800000000000003,0.645
MINIROCKET,10000,max + ppv,1e-10,0.402,0.28800000000000003,0.645
MINIROCKET,10000,ppv,1e-10,0.405,0.293,0.6659999999999999
MINIROCKET,10000,max,1e-09,0.402,0.28800000000000003,0.645
MINIROCKET,10000,max + ppv,1e-09,0.402,0.28800000000000003,0.645
MINIROCKET,10000,ppv,1e-09,0.40399999999999997,0.292,0.667
MINIROCKET,10000,max,1e-08,0.40299999999999997,0.289,0.6459999999999999
MINIROCKET,10000,max + ppv,1e-08,0.40299999999999997,0.289,0.6459999999999999
MINIROCKET,10000,ppv,1e-08,0.406,0.294,0.6679999999999999
ROCKET,250,max,1e-10,0.475,0.369,0.784
ROCKET,250,max + ppv,1e-10,0.475,0.369,0.784
ROCKET,250,ppv,1e-10,0.489,0.385,0.809
ROCKET,250,max,1e-09,0.475,0.37,0.784
ROCKET,250,max + ppv,1e-09,0.475,0.37,0.784
