Algorithm,Number of Cores,Pooling,Number of classifiers,Skuteczność,BI,AUC
MINIROCKET,250,max + ppv,100,0.879,0.703,0.852
MINIROCKET,250,max,100,0.8809999999999999,0.7040000000000001,0.852
MINIROCKET,250,ppv,100,0.8740000000000001,0.6920000000000001,0.846
MINIROCKET,250,max + ppv,80,0.882,0.71,0.855
MINIROCKET,250,max,80,0.882,0.708,0.8540000000000001
MINIROCKET,250,ppv,80,0.875,0.6920000000000001,0.846
MINIROCKET,250,max + ppv,90,0.8809999999999999,0.706,0.853
MINIROCKET,250,max,90,0.88,0.7020000000000001,0.851
MINIROCKET,250,ppv,90,0.8759999999999999,0.6940000000000001,0.847
MINIROCKET,500,max + ppv,100,0.8740000000000001,0.688,0.8440000000000001
MINIROCKET,500,max,100,0.875,0.691,0.845
MINIROCKET,500,ppv,100,0.868,0.667,0.8340000000000001
MINIROCKET,500,max + ppv,80,0.877,0.696,0.848
MINIROCKET,500,max,80,0.8740000000000001,0.688,0.8440000000000001
MINIROCKET,500,ppv,80,0.8690000000000001,0.67,0.835
MINIROCKET,500,max + ppv,90,0.875,0.691,0.846
MINIROCKET,500,max,90,0.8759999999999999,0.6920000000000001,0.846
MINIROCKET,500,ppv,90,0.868,0.6679999999999999,0.8340000000000001
MINIROCKET,1000,max + ppv,100,0.909,0.778,0.889
MINIROCKET,1000,max,100,0.912,0.782,0.8909999999999999
MINIROCKET,1000,ppv,100,0.91,0.78,0.89
MINIROCKET,1000,max + ppv,80,0.9109999999999999,0.78,0.89
MINIROCKET,1000,max,80,0.9109999999999999,0.782,0.8909999999999999
MINIROCKET,1000,ppv,80,0.9109999999999999,0.782,0.8909999999999999
MINIROCKET,1000,max + ppv,90,0.91,0.7809999999999999,0.8909999999999999
MINIROCKET,1000,max,90,0.912,0.7859999999999999,0.893
MINIROCKET,1000,ppv,90,0.909,0.7759999999999999,0.888
MINIROCKET,2500,max + ppv,100,0.915,0.795,0.898
MINIROCKET,2500,max,100,0.9159999999999999,0.795,0.897
MINIROCKET,2500,ppv,100,0.9229999999999999,0.8140000000000001,0.907
MINIROCKET,2500,max + ppv,80,0.912,0.787,0.894
MINIROCKET,2500,max,80,0.912,0.787,0.893
MINIROCKET,2500,ppv,80,0.925,0.8190000000000001,0.909
MINIROCKET,2500,max + ppv,90,0.912,0.7879999999999999,0.894
MINIROCKET,2500,max,90,0.912,0.7879999999999999,0.894
MINIROCKET,2500,ppv,90,0.924,0.815,0.907
MINIROCKET,5000,max + ppv,100,0.919,0.7959999999999999,0.898
MINIROCKET,5000,max,100,0.92,0.8,0.9
MINIROCKET,5000,ppv,100,0.914,0.7929999999999999,0.8959999999999999
MINIROCKET,5000,max + ppv,80,0.9209999999999999,0.802,0.9009999999999999
MINIROCKET,5000,max,80,0.9209999999999999,0.802,0.9009999999999999
MINIROCKET,5000,ppv,80,0.914,0.794,0.897
MINIROCKET,5000,max + ppv,90,0.92,0.8009999999999999,0.9009999999999999
MINIROCKET,5000,max,90,0.92,0.799,0.9
MINIROCKET,5000,ppv,90,0.9179999999999999,0.802,0.9009999999999999
MINIROCKET,10000,max + ppv,100,0.929,0.821,0.9109999999999999
MINIROCKET,10000,max,100,0.9259999999999999,0.813,0.9059999999999999
MINIROCKET,10000,ppv,100,0.922,0.8,0.9
MINIROCKET,10000,max + ppv,80,0.9279999999999999,0.818,0.909
MINIROCKET,10000,max,80,0.9259999999999999,0.813,0.9059999999999999
MINIROCKET,10000,ppv,80,0.9179999999999999,0.792,0.8959999999999999
MINIROCKET,10000,max + ppv,90,0.929,0.8220000000000001,0.9109999999999999
MINIROCKET,10000,max,90,0.929,0.8220000000000001,0.9109999999999999
MINIROCKET,10000,ppv,90,0.9209999999999999,0.799,0.9
ROCKET,250,max + ppv,100,0.9,0.7659999999999999,0.883
ROCKET,250,max,100,0.9,0.768,0.884
ROCKET,250,ppv,100,0.894,0.7340000000000001,0.867
ROCKET,250,max + ppv,80,0.9,0.767,0.883
ROCKET,250,max,80,0.9,0.765,0.883
ROCKET,250,ppv,80,0.894,0.737,0.868
ROCKET,250,max + ppv,90,0.9,0.769,0.884
ROCKET,250,max,90,0.9,0.768,0.884
ROCKET,250,ppv,90,0.894,0.738,0.8690000000000001
ROCKET,500,max + ppv,100,0.9009999999999999,0.765,0.882
ROCKET,500,max,100,0.899,0.762,0.8809999999999999
ROCKET,500,ppv,100,0.8959999999999999,0.741,0.871
ROCKET,500,max + ppv,80,0.9,0.764,0.882
ROCKET,500,max,80,0.9,0.762,0.8809999999999999
ROCKET,500,ppv,80,0.8959999999999999,0.7390000000000001,0.87
ROCKET,500,max + ppv,90,0.9009999999999999,0.7659999999999999,0.883
ROCKET,500,max,90,0.9009999999999999,0.764,0.882
ROCKET,500,ppv,90,0.897,0.741,0.871
ROCKET,1000,max + ppv,100,0.9129999999999999,0.799,0.899
ROCKET,1000,max,100,0.91,0.7879999999999999,0.894
ROCKET,1000,ppv,100,0.902,0.757,0.878
ROCKET,1000,max + ppv,80,0.9079999999999999,0.7859999999999999,0.893
ROCKET,1000,max,80,0.9079999999999999,0.785,0.892
