Algorithm,Number of Cores,Pooling,Regularization,Skuteczność,BI,AUC
MINIROCKET,250,max + ppv,Brak,0.853,0.659,0.83
MINIROCKET,250,max,Brak,0.853,0.659,0.83
MINIROCKET,250,ppv,Brak,0.8420000000000001,0.631,0.816
MINIROCKET,250,max + ppv,elasticnet,0.8390000000000001,0.5710000000000001,0.7859999999999999
MINIROCKET,250,max,elasticnet,0.8390000000000001,0.5710000000000001,0.785
MINIROCKET,250,ppv,elasticnet,0.8390000000000001,0.5720000000000001,0.7859999999999999
MINIROCKET,250,max + ppv,l1,0.843,0.584,0.792
MINIROCKET,250,max,l1,0.843,0.584,0.792
MINIROCKET,250,ppv,l1,0.843,0.584,0.792
MINIROCKET,250,max + ppv,l2,0.853,0.608,0.804
MINIROCKET,250,max,l2,0.853,0.608,0.804
MINIROCKET,250,ppv,l2,0.848,0.5920000000000001,0.7959999999999999
MINIROCKET,500,max + ppv,Brak,0.867,0.6759999999999999,0.838
MINIROCKET,500,max,Brak,0.867,0.6759999999999999,0.838
MINIROCKET,500,ppv,Brak,0.8540000000000001,0.631,0.816
MINIROCKET,500,max + ppv,elasticnet,0.846,0.59,0.795
MINIROCKET,500,max,elasticnet,0.846,0.59,0.795
MINIROCKET,500,ppv,elasticnet,0.843,0.579,0.79
MINIROCKET,500,max + ppv,l1,0.845,0.59,0.795
MINIROCKET,500,max,l1,0.845,0.59,0.795
MINIROCKET,500,ppv,l1,0.845,0.588,0.794
MINIROCKET,500,max + ppv,l2,0.883,0.6970000000000001,0.848
MINIROCKET,500,max,l2,0.883,0.6970000000000001,0.848
MINIROCKET,500,ppv,l2,0.865,0.643,0.821
MINIROCKET,1000,max + ppv,Brak,0.867,0.703,0.851
MINIROCKET,1000,max,Brak,0.867,0.703,0.851
MINIROCKET,1000,ppv,Brak,0.845,0.631,0.815
MINIROCKET,1000,max + ppv,elasticnet,0.847,0.603,0.8009999999999999
MINIROCKET,1000,max,elasticnet,0.847,0.603,0.8009999999999999
MINIROCKET,1000,ppv,elasticnet,0.8420000000000001,0.5820000000000001,0.7909999999999999
MINIROCKET,1000,max + ppv,l1,0.841,0.588,0.794
MINIROCKET,1000,max,l1,0.8420000000000001,0.589,0.795
MINIROCKET,1000,ppv,l1,0.8390000000000001,0.58,0.79
MINIROCKET,1000,max + ppv,l2,0.889,0.72,0.86
MINIROCKET,1000,max,l2,0.889,0.72,0.86
MINIROCKET,1000,ppv,l2,0.872,0.672,0.836
MINIROCKET,2500,max + ppv,Brak,0.8740000000000001,0.715,0.857
MINIROCKET,2500,max,Brak,0.8740000000000001,0.715,0.857
MINIROCKET,2500,ppv,Brak,0.867,0.6729999999999999,0.836
MINIROCKET,2500,max + ppv,elasticnet,0.871,0.6729999999999999,0.8370000000000001
MINIROCKET,2500,max,elasticnet,0.871,0.6729999999999999,0.836
MINIROCKET,2500,ppv,elasticnet,0.863,0.642,0.821
MINIROCKET,2500,max + ppv,l1,0.861,0.6409999999999999,0.821
MINIROCKET,2500,max,l1,0.861,0.6409999999999999,0.821
MINIROCKET,2500,ppv,l1,0.851,0.616,0.8079999999999999
MINIROCKET,2500,max + ppv,l2,0.904,0.757,0.879
MINIROCKET,2500,max,l2,0.904,0.757,0.879
