Algorithm,Number of Cores,Pooling,Współczynnik wygładzania,Skuteczność,BI,AUC,Number of classifiers
MINIROCKET,250,max + ppv,1e-08,0.8270000000000001,0.5770000000000001,0.7879999999999999,1e-08
MINIROCKET,250,max,1e-08,0.8270000000000001,0.5770000000000001,0.7879999999999999,1e-08
MINIROCKET,250,ppv,1e-08,0.7959999999999999,0.435,0.718,1e-08
MINIROCKET,250,max + ppv,1e-09,0.825,0.568,0.784,1e-09
MINIROCKET,250,max,1e-09,0.825,0.568,0.784,1e-09
MINIROCKET,250,ppv,1e-09,0.7909999999999999,0.414,0.7070000000000001,1e-09
MINIROCKET,250,max + ppv,1e-10,0.825,0.561,0.78,1e-10
MINIROCKET,250,max,1e-10,0.825,0.561,0.78,1e-10
MINIROCKET,250,ppv,1e-10,0.785,0.39,0.695,1e-10
MINIROCKET,500,max + ppv,1e-08,0.846,0.682,0.841,1e-08
MINIROCKET,500,max,1e-08,0.846,0.682,0.841,1e-08
MINIROCKET,500,ppv,1e-08,0.863,0.6970000000000001,0.8490000000000001,1e-08
MINIROCKET,500,max + ppv,1e-09,0.845,0.677,0.838,1e-09
MINIROCKET,500,max,1e-09,0.845,0.677,0.838,1e-09
MINIROCKET,500,ppv,1e-09,0.86,0.684,0.8420000000000001,1e-09
MINIROCKET,500,max + ppv,1e-10,0.845,0.674,0.8370000000000001,1e-10
MINIROCKET,500,ppv,1e-10,0.858,0.674,0.8370000000000001,1e-10
MINIROCKET,1000,max + ppv,1e-08,0.846,0.703,0.852,1e-08
MINIROCKET,1000,max,1e-08,0.846,0.703,0.852,1e-08
MINIROCKET,1000,ppv,1e-08,0.82,0.615,0.8079999999999999,1e-08
MINIROCKET,1000,max + ppv,1e-09,0.845,0.7,0.85,1e-09
MINIROCKET,1000,max,1e-09,0.845,0.7,0.85,1e-09
MINIROCKET,1000,ppv,1e-09,0.82,0.61,0.805,1e-09
MINIROCKET,1000,max + ppv,1e-10,0.8440000000000001,0.6970000000000001,0.848,1e-10
MINIROCKET,1000,ppv,1e-10,0.8190000000000001,0.603,0.802,1e-10
MINIROCKET,2500,max + ppv,1e-08,0.8540000000000001,0.716,0.858,1e-08
MINIROCKET,2500,max,1e-08,0.8540000000000001,0.716,0.858,1e-08
MINIROCKET,2500,ppv,1e-08,0.847,0.6890000000000001,0.845,1e-08
MINIROCKET,2500,max + ppv,1e-09,0.8540000000000001,0.716,0.858,1e-09
MINIROCKET,2500,max,1e-09,0.8540000000000001,0.716,0.858,1e-09
MINIROCKET,2500,ppv,1e-09,0.847,0.6890000000000001,0.8440000000000001,1e-09
MINIROCKET,2500,max + ppv,1e-10,0.853,0.715,0.857,1e-10
MINIROCKET,2500,ppv,1e-10,0.847,0.6890000000000001,0.845,1e-10
MINIROCKET,5000,max + ppv,1e-08,0.8320000000000001,0.669,0.8340000000000001,1e-08
MINIROCKET,5000,max,1e-08,0.833,0.67,0.835,1e-08
MINIROCKET,5000,max + ppv,1e-09,0.8320000000000001,0.669,0.8340000000000001,1e-09
MINIROCKET,5000,max,1e-09,0.8320000000000001,0.67,0.835,1e-09
MINIROCKET,5000,max + ppv,1e-10,0.8320000000000001,0.669,0.8340000000000001,1e-10
MINIROCKET,5000,ppv,1e-10,0.843,0.693,0.846,1e-10
MINIROCKET,10000,max + ppv,1e-10,,,,1e-10
ROCKET,250,max + ppv,1e-08,0.863,0.7390000000000001,0.8690000000000001,1e-08
ROCKET,250,max,1e-08,0.863,0.7390000000000001,0.8690000000000001,1e-08
ROCKET,250,ppv,1e-08,0.851,0.7140000000000001,0.857,1e-08
ROCKET,250,max + ppv,1e-09,0.863,0.7390000000000001,0.8690000000000001,1e-09
ROCKET,250,max,1e-09,0.863,0.7390000000000001,0.8690000000000001,1e-09
ROCKET,250,ppv,1e-09,0.851,0.7120000000000001,0.856,1e-09
ROCKET,250,max + ppv,1e-10,0.863,0.74,0.87,1e-10
ROCKET,250,max,1e-10,0.863,0.738,0.8690000000000001,1e-10
ROCKET,250,ppv,1e-10,0.85,0.7120000000000001,0.856,1e-10
ROCKET,500,max + ppv,1e-08,0.866,0.748,0.8740000000000001,1e-08
ROCKET,500,max + ppv,1e-09,0.866,0.747,0.8740000000000001,1e-09
ROCKET,500,ppv,1e-09,0.852,0.7140000000000001,0.857,1e-09
ROCKET,500,max + ppv,1e-10,0.866,0.747,0.873,1e-10
ROCKET,500,ppv,1e-10,0.852,0.72,0.86,1e-10
ROCKET,1000,max + ppv,1e-08,0.87,0.7609999999999999,0.8809999999999999,1e-08
ROCKET,1000,max,1e-08,0.87,0.7609999999999999,0.8809999999999999,1e-08
ROCKET,1000,ppv,1e-08,0.855,0.73,0.865,1e-08
ROCKET,1000,max + ppv,1e-09,0.87,0.7609999999999999,0.88,1e-09
ROCKET,1000,max,1e-09,0.87,0.7609999999999999,0.88,1e-09
ROCKET,1000,ppv,1e-09,0.855,0.7290000000000001,0.8640000000000001,1e-09
ROCKET,1000,max + ppv,1e-10,0.87,0.76,0.88,1e-10
ROCKET,1000,max,1e-10,0.87,0.76,0.88,1e-10
ROCKET,1000,ppv,1e-10,0.8540000000000001,0.728,0.8640000000000001,1e-10
ROCKET,2500,max + ppv,1e-08,0.871,0.7659999999999999,0.883,1e-08
ROCKET,2500,max,1e-08,0.871,0.7659999999999999,0.883,1e-08
ROCKET,2500,ppv,1e-08,0.855,0.732,0.866,1e-08
ROCKET,2500,max + ppv,1e-09,0.87,0.764,0.882,1e-09
ROCKET,2500,max,1e-09,0.87,0.764,0.882,1e-09
ROCKET,2500,ppv,1e-09,0.855,0.731,0.866,1e-09
ROCKET,2500,max + ppv,1e-10,0.87,0.764,0.882,1e-10
ROCKET,2500,max,1e-10,0.87,0.764,0.882,1e-10
ROCKET,2500,ppv,1e-10,0.855,0.731,0.866,1e-10
ROCKET,5000,ppv,1e-08,0.852,0.7290000000000001,0.865,1e-08
ROCKET,5000,ppv,1e-09,0.852,0.7290000000000001,0.865,1e-09
ROCKET,5000,ppv,1e-10,0.852,0.7290000000000001,0.8640000000000001,1e-10
ROCKET,10000,max + ppv,1e-08,0.865,0.76,0.88,1e-08
ROCKET,10000,max,1e-08,0.865,0.76,0.88,1e-08
ROCKET,10000,ppv,1e-08,0.847,0.722,0.861,1e-08
ROCKET,10000,max + ppv,1e-09,0.863,0.755,0.878,1e-09
ROCKET,10000,max,1e-09,0.863,0.755,0.878,1e-09
ROCKET,10000,ppv,1e-09,0.847,0.722,0.861,1e-09
ROCKET,10000,max + ppv,1e-10,0.862,0.754,0.877,1e-10
ROCKET,10000,max,1e-10,0.862,0.754,0.877,1e-10
ROCKET,10000,ppv,1e-10,0.847,0.722,0.861,1e-10
